date,ticker,name,signal,universe,xs_1m,xs_3m,xs_6m,xs_12m,mae,period,rel5,w_rsi,m_rsi,rv,drawdown,move21,mkt_part,sec_part,spec_part,driver,mkt_gauge,regime,credit_stress
2008-09-18,OKE,Oneok,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.02391,0.01925,-0.04153,0.12323,-0.39202,In-sample 2005-14,1.38390,24.87619,40.99008,0.35685,0.28114,-0.16764,-0.02604,-0.01515,-0.12646,Specific,99.92063,Elevated,False
2008-12-17,OKE,Oneok,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.09498,-0.08059,0.02800,0.34878,-0.33644,In-sample 2005-14,0.81205,39.48549,32.92330,0.65166,0.42329,0.06288,0.06693,-0.01834,0.01429,Market,96.03175,Elevated,False
2009-03-20,OKE,Oneok,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.03925,0.13578,0.28136,0.62542,-0.04868,In-sample 2005-14,0.73344,36.44703,27.61491,0.55213,0.54715,-0.13229,-0.01312,-0.00053,-0.11863,Specific,94.12698,Elevated,False
2015-01-12,OKE,Oneok,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.15752,0.24090,-0.01524,-0.40031,0.00000,Out-of-sample 2015+,2.27840,28.34436,40.17398,0.35742,0.41515,-0.08285,0.00376,0.00665,-0.09325,Specific,78.66402,Elevated,False
2015-08-13,OKE,Oneok,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.01292,-0.19089,-0.30977,0.32157,-0.20768,Out-of-sample 2015+,0.43449,36.16149,37.46660,0.40637,0.46103,-0.09635,-0.01350,-0.01130,-0.07154,Specific,40.82011,Calm,False
2020-03-16,OKE,Oneok,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.12586,0.60073,-0.05360,1.03658,-0.28478,Out-of-sample 2015+,0.44412,12.79952,27.85173,1.16551,0.67737,-1.11435,-0.28132,-0.16218,-0.67085,Specific,99.76190,Panic,True
2025-04-07,OLN,Olin Corporation,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.05396,0.00788,0.08793,0.28562,0.00000,Out-of-sample 2015+,0.13593,20.10743,31.00062,0.51510,0.66657,-0.24124,-0.12837,-0.02781,-0.08505,Market,95.60847,Panic,False
2008-10-10,ON,ON Semiconductor,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.02193,-0.06103,0.10510,0.44335,-0.49416,In-sample 2005-14,1.40920,26.46007,37.51217,1.27337,0.66436,-0.57522,-0.49671,0.01800,-0.09652,Market,100.00000,Elevated,False
2020-03-19,ON,ON Semiconductor,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.00759,0.43716,0.52235,2.02926,0.00000,Out-of-sample 2015+,0.68260,21.73241,36.92465,1.11671,0.58977,-0.68742,-0.72627,0.10611,-0.06727,Market,98.22751,Panic,True
2022-04-12,ONC,BeOne Medicines AG,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.19815,0.07148,-0.02312,0.46149,-0.35463,Out-of-sample 2015+,5.40712,35.67072,38.44255,0.66072,0.54750,0.21772,0.05543,-0.01086,0.17315,Specific,52.14286,Calm,False
2019-02-20,OPLN,OPENLANE Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.00482,0.12283,0.35912,0.03365,-0.03887,Out-of-sample 2015+,0.61692,36.53312,46.70107,0.47663,0.26310,-0.10532,0.03367,-0.00127,-0.13772,Specific,56.90476,Calm,False
2019-11-06,OPLN,OPENLANE Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.05864,-0.07645,-0.38138,-0.37964,-0.04661,Out-of-sample 2015+,0.89135,39.33658,50.80518,0.36423,0.23101,-0.11910,0.04755,-0.00052,-0.16614,Specific,34.57672,Calm,False
2026-07-01,ORCL,Oracle Corporation,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.00252,,,,-0.17737,Out-of-sample 2015+,0.56036,39.22226,46.10667,0.58621,0.56256,-0.55469,-0.02487,-0.11136,-0.41846,Specific,32.75132,Calm,False
2020-03-12,ORI,Old Republic International Corporation,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.11885,-0.21144,-0.36876,-0.12187,-0.31462,Out-of-sample 2015+,0.37299,28.51792,37.16787,0.43769,0.29573,-0.32624,-0.23234,-0.04287,-0.05103,Market,99.89418,Panic,True
